Author,Thesis Name,Academic Level,Year,General Subject,Institution,Director,Codirector,Language,Link
Lina Perez,Structural characterization of the Azuero-Sona fault zone,Undergraduated Thesis,2015,Structural Geology,Uniandes,Camilo Montes,-,English,https://biblioteca.uniandes.edu.co/acepto2015201.php?id=7629.pdf
Juliana Ayala,Bouger Anomaly Model from Western Azuero Peninsula Panam‡,Undergraduated Thesis,2015,Geophysics,Uniandes,Camilo Montes,David Farris,English,https://biblioteca.uniandes.edu.co/acepto2015201.php?id=7596.pdf
Billy Revelo,"Use of electromagnetic geophysical methods for detecting neotectonic structures in the Azuero Peninsula, Panama",Undergraduated Thesis,2015,Geophysics,Uniandes,Camilo Montes,-,English,Not Available Online
Alejandro Rodriguez,Paleolatitudes and Vertical-Axis Rotation in Azuero Peninsula Panama,Undergraduated Thesis,2015,Geophysics,Uniandes,Camilo Montes,-,English,https://biblioteca.uniandes.edu.co/acepto201699.php?id=8090.pdf
Andrea Jara ,2D Resistivity Characterization of Alluvial Deposits near Azuero Fault Panama,Undergraduated Thesis,2016,Geophysics,Uniandes,Jill Pearse,Camilo Montes,English,Not Online Available yet
Carolina Ortiz,Tectonostratigraphic reconstruction of the Azuero Peninsula; Geologic Mapping and Structural Cross-Sections,Undergraduated Thesis,2016,Structural Geology,Uniandes,Camilo Montes,-,English,Not Online Available yet
Catalina Agudelo,Geochemical and Mineralogical characterization of mineralized volcanic sequences in Loma Iguana Region (Azuero Peninsula Panama),Undergraduated Thesis,2016,Petrology,Uniandes,Idael Blanco,Camilo Montes,English,Not Online Available yet
Maria Paz Urdaneta,Geochemical and petrological characterization of gabbroic bodies in the Azuero Peninsula: Regional Implications,Undergraduated Thesis,2016,Petrology,Uniandes,Idael Blanco,Camilo Montes,English,Not Online Available yet
Jose David Avellaneda,Caracterizaci—n estructural y de lineamientos de la Pen’nsula de Azuero,Undergraduated Thesis,2016,Structural Geology,Uniandes,Camilo Montes,-,Spanish,Not Online Available yet
Sebastian Garz—n,Stratigraphy and provenance of Cenozoic sequences in the Panamanian Fore-Arc,Undergraduated Thesis,2016,Stratigraphy,Uniandes,Camilo Montes,German Bayona,English,Not Online Available yet
Daniel G—ngora,An‡lisis sedimentol—gico y caracterizaci—n petrogr‡fica de secuencias expuestas en Playa Torio y Playa Palo Seco en la Pen’nsula de Azuero,Undergraduated Thesis,2016,Stratigraphy,Uniandes,Camilo Montes,German Bayona,?,Not Online Available yet
Esteban Gaitan,"Kinematic and tectonic model for the Azuero Pen’nsula, Panam‡: paleomagnetic interpretation.Ê",Undergraduated Thesis,2016,Geophysics,Uniandes,Camilo Montes,German Bayona,English,Not Online Available yet
Juan Camilo Meza,"Mechanical characterization of the Azuero-Sona Fault, Azuero Peninsula (Panama): study of the brittle-ductile transition zone.Ê",Undergraduated Thesis,2016,Structural Geology,Uniandes,Fabio Ferri,-,English,Not Online Available yet
Carolina Rubiano,"New insights of epithermal deposit in northwestern Azuero Pen’nsula, Panama.Ê",Undergraduated Thesis,2016,Petrology,Uniandes,Idael Blanco,-,English,Not Online Available yet
Nicolas Zuluaga,Geochemical and petrological characterizacion of basaltic dykes in the Azuero Peninsula (Panama): Implications and tectonostratigraphic evolution,Undergraduated Thesis,2016,Petrology,Uniandes,Camilo Montes,Idael Blanco,English,Not Online Available yet
Nathalia Pineda,"Geochemical and petrological characterization of the volcanic rocks in Azuero Peninsula, Panama: Tectonic implications",Undergraduated Thesis,2016,Petrology,Uniandes,Idael Blanco,Camilo Montes,English,Not Online Available yet
Margarita Ariza,Geochemical and petrographic characterizacion of basalts at the south of the Azuero-Son‡ Fault in the Azuero Peninsula Panam‡,Undergraduated Thesis,2016,Petrology,Uniandes,Idael Blanco,Camilo Montes,English,Not Online Available yet
Michael Kedenburg,Thermochronological Constraints of Cenozoic Uplift and Exhumation of the Azuero Peninsula Panama: Implications for South Central American Stratigraphy and Tectonics,Master of Science Thesis,2016,Stratigraphy,University of Florida,David Foster,-,English,Not Online Available yet